University,Focus Region,Domain,Count
University of Science and Technology of China,nan,Recommender Systems,2
University of Sheffield,nan,General Fairness & Bias Mitigation,1
University of South Carolina,Global,Graph-Based Fairness & Bias Mitigation,1
University of South Florida,nan,LLMs & NLP,1
University of Southern California,Global,General Fairness & Bias Mitigation,1
University of Southern California,USA,General Fairness & Bias Mitigation,1
University of Technology Malaysia,nan,Health & Clinical AI,1
University of Toronto,nan,General Fairness & Bias Mitigation,1
University of Toronto,nan,Health & Clinical AI,2
University of Tsukuba,nan,Recommender Systems,1
University of Victoria,Global,LLMs & NLP,1
University of Vienna,nan,General Fairness & Bias Mitigation,1
University of Virginia,Global,LLMs & NLP,1
University of Virginia,nan,Graph-Based Fairness & Bias Mitigation,3
University of Virginia,nan,LLMs & NLP,1
University of Washington,Global,General Fairness & Bias Mitigation,1
University of Washington,nan,General Fairness & Bias Mitigation,1
University of Washington,nan,LLMs & NLP,2
University of Washington,nan,Recommender Systems,1
University of Washington Bothell,Global,LLMs & NLP,1
University of West London,nan,Health & Clinical AI,1
University of Wollongong,Australia,General Fairness & Bias Mitigation,1
University of Zurich,Global,General Fairness & Bias Mitigation,2
University of Zurich,nan,General Fairness & Bias Mitigation,3
University of the Aegean,nan,Graph-Based Fairness & Bias Mitigation,2
Università di Camerino,nan,Health & Clinical AI,1
Université de Toulouse,Global/Spain,General Fairness & Bias Mitigation,1
Université du Québec à Montréal,Global,General Fairness & Bias Mitigation,1
Utrecht University,nan,General Fairness & Bias Mitigation,2
Utrecht University,nan,Health & Clinical AI,1
Utrecht University,nan,Recommender Systems,1
Vanderbilt University,nan,Health & Clinical AI,1
Vanderbilt University,nan,Recommender Systems,1
VinUniversity,nan,LLMs & NLP,1
Virginia Tech,nan,General Fairness & Bias Mitigation,2
Virginia Tech,nan,Health & Clinical AI,1
Volkswagen Group,nan,General Fairness & Bias Mitigation,1
Vrije Universiteit Brussel,nan,Recommender Systems,1
Walter Sisulu University,nan,Health & Clinical AI,1
Washington University,nan,General Fairness & Bias Mitigation,1
Weizenbaum Institute,nan,General Fairness & Bias Mitigation,1
Wellesley College,nan,General Fairness & Bias Mitigation,1
Westlake University,Global,LLMs & NLP,1
Worcester Polytechnic Institute,nan,General Fairness & Bias Mitigation,1
Xidian University,nan,Health & Clinical AI,1
Xinjiang University,nan,LLMs & NLP,1
Yıldız Technical University,Global,General Fairness & Bias Mitigation,1
Zhejiang University,nan,Health & Clinical AI,1
Zhejiang University,nan,LLMs & NLP,1
Zhongguancun Laboratory,Global,LLMs & NLP,1
École Polytechnique,European,General Fairness & Bias Mitigation,1
