SN,Paper Title,Domain,Year,cited_by_count,in_degree_corpus,out_degree_corpus
455,How Redundant are Redundant Encodings? Blindness in the Wild and Racial Disparity when Race is Unobserved,General Fairness & Bias Mitigation,2023,9,1,6
19,Meritocratic Fairness for Infinite and Contextual Bandits,General Fairness & Bias Mitigation,2018,21,1,1
8,Bias Mitigation for Machine Learning Classifiers: A Comprehensive Survey,General Fairness & Bias Mitigation,2022,23,1,0
452,"Explainable AI is Dead, Long Live Explainable AI!",General Fairness & Bias Mitigation,2023,136,1,0
484,Perceived Algorithmic Fairness using Organizational Justice Theory: An Empirical Case Study on Algorithmic Hiring,General Fairness & Bias Mitigation,2023,7,1,1
5,Inherent Bias in Artificial Intelligence-Based Decision Support Systems for Healthcare,Health & Clinical AI,2020,46,1,1
686,"In the Picture: Medical Imaging Datasets, Artifacts, and their Living Review",Health & Clinical AI,2025,12,1,3
397,"Evidence of What, for Whom? The Socially Contested Role of Algorithmic Bias in a Predictive Policing Tool",General Fairness & Bias Mitigation,2024,11,1,5
321,Dialectal Toxicity Detection: Evaluating LLM-as-a-Judge Consistency Across Language Varieties,LLMs & NLP,2024,1,1,0
26,Mitigating Unwanted Biases with Adversarial Learning,General Fairness & Bias Mitigation,2018,98,1,2
324,Fairness and Diversity in Recommender Systems: A Survey,Recommender Systems,2024,73,1,5
325,Differential Privacy Has Disparate Impact on Model Accuracy,General Fairness & Bias Mitigation,2019,77,1,1
461,Black-Box Access is Insufficient for Rigorous AI Audits,General Fairness & Bias Mitigation,2024,52,1,6
445,Examining risks of racial biases in NLP tools for child protective services,LLMs & NLP,2023,15,1,1
479,Evaluating the Fairness of Discriminative Foundation Models in Computer Vision,General Fairness & Bias Mitigation,2023,5,1,5
511,Fairness Without Demographics in Repeated Loss Minimization,General Fairness & Bias Mitigation,2018,108,1,0
3,Artificial Intelligence in Clinical Decision Support: Challenges for Evaluating AI and Practical Implications,Health & Clinical AI,2019,335,1,0
398,Fairness and bias correction in machine learning for depression prediction across four study populations,Health & Clinical AI,2024,31,1,6
246,Mitigating Nonlinear Algorithmic Bias in Binary Classification,General Fairness & Bias Mitigation,2024,2,1,2
341,Survey on Machine Learning Biases and Mitigation Techniques,General Fairness & Bias Mitigation,2023,62,1,4
430,Towards Fair Graph Neural Networks via Graph Counterfactual,Graph-Based Fairness & Bias Mitigation,2023,20,1,4
428,The Neutrality Fallacy: When Algorithmic Fairness Interventions are (Not) Positive Action,General Fairness & Bias Mitigation,2024,6,1,3
